age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
17,?,256173,10th,6,Never-married,?,Own-child,White,Female,0,0,15
31,Private,265706,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40
61,Self-emp-not-inc,244087,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52
60,Local-gov,232618,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40
56,Private,34626,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,1980,40
55,Private,213615,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
25,Self-emp-not-inc,245369,HS-grad,9,Separated,Craft-repair,Own-child,White,Male,0,0,35
62,Private,186696,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
39,Private,165186,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45
44,Private,368757,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40
18,Private,298860,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20
39,Private,388023,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,38
21,Private,177711,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40
41,Self-emp-not-inc,120539,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,40
18,?,51574,HS-grad,9,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,1602,38
50,Private,248619,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
75,Self-emp-not-inc,208426,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35
29,Private,568490,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
42,Private,313945,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40
17,Private,130795,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,20
20,Private,275190,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40
20,Private,200089,5th-6th,3,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,30
22,Private,207940,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,36
25,Private,144259,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,50
32,Local-gov,206609,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40
35,Private,239755,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,38
